file_content,Size,file_tags,cat_ID,digest,collection,URI,file_format,Name
,529094,,69957,b421cb36cc411644d555a35facb60f27,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-53-gyg2vs.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-53-gyg2vs.dcm
,529094,,69957,b434af5cb00eb05bfa3cb3667352cddd,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-20-6cn2vp.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-20-6cn2vp.dcm
,529094,,69957,a263019641813613004239546ba093a7,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-41-5j0zg2.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-41-5j0zg2.dcm
,529094,,69957,a3678b0acc6dac11bac1ead535c41c1d,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-9-1413db9.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-9-1413db9.dcm
,529094,,69957,32b523e14195e65918af1ac23f1df25e,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-34-ft9gfb.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-34-ft9gfb.dcm
,529094,,69957,ea688efa136c5cf627b327bcfbe304cd,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-10-1eiu81k.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-10-1eiu81k.dcm
,529094,,69957,cc678d7ae0c04e2c4f8e0e5fe20378d5,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-48-318okp.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-48-318okp.dcm
,529094,,69957,983cd4e74d333c411d8757e572f1a1b9,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-27-16cu3k0.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-27-16cu3k0.dcm
,529094,,69957,c934d5a26f2050559f237cba8609005c,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-38-1jmxkgl.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-38-1jmxkgl.dcm
,529094,,69957,04d45f3744c2603a8fa2684ef2a36c85,DICOM,/data/experiments/SNIPR_E03517/scans/2/resources/69957/files/1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-44-1llawrj.dcm,DICOM,1.2.840.113654.2.45.6242.41786130236813614531978884608083678057-2-44-1llawrj.dcm
